species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,inhs,5641,preservedspecimen,15,united states,illinois,little wabash river 1.5 mi s carmi possum bridge north america,1988,38.05984,-88.15743,
Amblema plicata,inhs,35364,preservedspecimen,1,united states,illinois,rock river 2 mi sw como boat ramp north america,2009,41.7487,-89.81317,
Amblema plicata,inhs,39047,preservedspecimen,1,united states,illinois,illinois river 4.7 mi ese griggsville i-72 bridge river mile 60.2 north america,2010,39.68618,-90.64155,
Amblema plicata,inhs,18483,preservedspecimen,1,united states,illinois,vermilion river pontiac hwy. 66 bypass north america,1976,40.87894,-88.64391,
Amblema plicata,uf,180583-mollusca,preservedspecimen,1,united states,michigan,e of muir maple river,,,,
Amblema plicata,inhs,2490,preservedspecimen,51,united states,illinois,embarras river 2 mi se charleston old bridge s of lake charleston spillway north america,1986,39.4572,-88.14705,
Amblema plicata,inhs,2363,preservedspecimen,1,united states,illinois,embarras river 2 mi s camargo north america,1986,39.76745,-88.17615,
Amblema plicata,uf,229855-mollusca,preservedspecimen,1,united states,louisiana,shreveport,,,,
Amblema plicata,inhs,42444,preservedspecimen,1,united states,iowa,mississippi river bettendorf pool 15 river mile 486.5 north america,2010,41.52127,-90.49856,
Amblema plicata,inhs,8023,preservedspecimen,1,united states,illinois,south henderson creek n biggsville rt. 94 bridge north america,1989,40.85693,-90.86432,
Amblema plicata,inhs,4986,preservedspecimen,2,united states,illinois,ohio river metropolis fort massac state park river mile 942 north america,1988,37.14244,-88.71069,
Amblema plicata,inhs,13095,preservedspecimen,1,united states,illinois,iroquois river 6 mi ese ashkum north america,1991,40.85872,-87.8421,
Amblema plicata,inhs,1570,preservedspecimen,2,united states,illinois,sangamon river [2 mi sw] athens north america,,39.94648,-89.76654,
Amblema plicata,inhs,17613,preservedspecimen,1,united states,illinois,illinois river 7 mi ne hennepin mouth of slough behind clark island river mile 215.2 north america,1995,41.32143,-89.26246,
Amblema plicata,uf,229856-mollusca,preservedspecimen,1,united states,missouri,lake contrary st. jospeh,,,,
Amblema plicata,inhs,543,preservedspecimen,4,united states,illinois,illinois river spring bay narrows north america,,40.82719,-89.54304,
Amblema plicata,uf,67883-mollusca,preservedspecimen,1,united states,illinois,mississippi river below dam above upper oquawka light,1930,,,
Amblema plicata,inhs,35068,preservedspecimen,1,united states,illinois,cache river 5.5 mi w buncombe mt. pleasant rd. bridge north america,2009,37.466389,-89.076667,
Amblema plicata,inhs,7559,preservedspecimen,7,united states,illinois,rock river 1.4 mi w cleveland i-80 bridge north america,1988,41.51142,-90.34094,
Amblema plicata,inhs,43930,preservedspecimen,1,united states,illinois,lake carlyle 4.7 mi ene carlyle n south shore state park north america,1984,38.6327,-89.2907,
Amblema plicata,inhs,38106,preservedspecimen,2,united states,nebraska,republican river cambridge north america,,40.27383,-100.16574,
Amblema plicata,inhs,5412,preservedspecimen,1,united states,indiana,wabash river clinton north america,1988,39.66257,-87.38925,
Amblema plicata,inhs,38844,preservedspecimen,1,united states,illinois,illinois river 8.4 mi n manito river mile 144.1 north america,2010,40.54566,-89.79926,
Amblema plicata,inhs,4372,preservedspecimen,10,united states,illinois,wabash river 1.5 mi s rochester north america,1987,38.32287,-87.83459,
Amblema plicata,inhs,25628,preservedspecimen,2,united states,illinois,mississippi river 2 mi above louisiana missouri hickory chute lower lights & daymark river mile 285.5 north america,1999,39.48485,-91.06248,
Amblema plicata,inhs,4316,preservedspecimen,5,united states,indiana,wabash river 0.5 mi s crawleyville north america,1987,38.27749,-87.84232,
Amblema plicata,uf,67931-mollusca,preservedspecimen,1,united states,louisiana,red r.,,,,
Amblema plicata,inhs,14092,preservedspecimen,3,united states,illinois,kaskaskia river 4 mi ssw shelbyville moore bridge north america,1956,39.3402,-88.8247,
Amblema plicata,inhs,12776,preservedspecimen,1,united states,kentucky,jessamine creek 0.25-0.5 mi upstream from kentucky river north america,1990,37.81504,-84.64601,
Amblema plicata,inhs,542,preservedspecimen,1,united states,illinois,illinois river peoria narrows north america,,40.7309,-89.54978,
Amblema plicata,inhs,28794,preservedspecimen,1,united states,illinois,rock river milan lower end vandruff island north america,2003,41.4621,-90.5775,
Amblema plicata,inhs,41108,preservedspecimen,1,united states,illinois,salt fork vermilion river 3.5 mi s fithian co. rd. 300e bridge north america,2011,40.0652,-87.8796,
Amblema plicata,inhs,13225,preservedspecimen,1,united states,illinois,the sny 5 mi wsw new canton confluence with big cutoff co. rd. 1000e north america,1992,39.62166,-91.18479,
Amblema plicata,inhs,18634,preservedspecimen,1,united states,illinois,illinois river 0.25 mi ese mossville north america,1996,40.80906,-89.55921,
Amblema plicata,inhs,16367,preservedspecimen,1,united states,illinois,wabash river 1 mi e hutsonville north america,1994,39.10387,-87.64569,
Amblema plicata,inhs,32514,preservedspecimen,1,united states,illinois,piasa creek 2 mi nw melville rt. 3 north america,2008,38.95961,-90.27174,
Amblema plicata,inhs,17328,preservedspecimen,3,united states,illinois,kaskaskia river w edge of evansville above rt. 3 bridge north america,1956,38.08884,-89.94365,
Amblema plicata,inhs,9130,preservedspecimen,1,united states,illinois,spoon river 2 mi e duncans mills river mile 8.1 north america,1971,40.33523,-90.14853,
Amblema plicata,uf,68914-mollusca,preservedspecimen,1,united states,illinois,mississippi river dallas city,1930,,,
Amblema plicata,omnh,15432,preservedspecimen,1,united states,oklahoma,okmulgee,1977,35.609794,-96.076495,
Amblema plicata,inhs,24803,preservedspecimen,1,united states,illinois,little wabash river 7 mi wsw grayville i-64 north america,2000,38.2378,-88.11022,
