species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,usnm,251559,preservedspecimen,2,united states,washington d.c.,potomac river near aqueduct bridge,,38.9022,-77.0697,
Amblema plicata,usnm,132665,preservedspecimen,4,united states,michigan,; ; united states; michigan; carp lake emmet co.,,,,
Amblema plicata,usnm,336094,preservedspecimen,1,united states,washington d.c.,; ; united states; district of columbia; theodore roosevelt island,,,,
Amblema plicata,usnm,85987,preservedspecimen,2,united states,maryland,; ; united states; maryland; charles county,,,,
Amblema plicata,usnm,128776,preservedspecimen,1,united states,ohio,; ; united states; ohio; portage county muzzy's pond,,,,
Amblema plicata,uf,489555-mollusca,preservedspecimen,1,united states,washington d.c.,potomac flats,1910,38.8834,-77.0467,
Amblema plicata,ansp,366175,preservedspecimen,10,united states,new york,rochester erie canal,,43.2,-77.616666,
Amblema plicata,ansp,372995,preservedspecimen,6,united states,new jersey,crosswicks creek,1974,40.133333,-74.666666,
Amblema plicata,ansp,56653,preservedspecimen,1,united states,connecticut,little river hartford,,,,
Amblema plicata,ansp,128932,preservedspecimen,7,united states,new york,erie canal pittsford,1921,,,
Amblema plicata,ansp,301003,preservedspecimen,10,united states,delaware,nanticoke river seaford,,,,
Amblema plicata,ansp,174904,preservedspecimen,2,united states,delaware,headwaters of choptank river medford mills,,,,
Amblema plicata,ansp,56649,preservedspecimen,2,united states,ohio,[no specific locality],,,,
Amblema plicata,ansp,47949,preservedspecimen,4,united states,michigan,carp lake,,,,
Amblema plicata,ansp,56648,preservedspecimen,2,united states,michigan,carp lake near mackenain,,,,
Amblema plicata,ansp,56642,preservedspecimen,4,united states,new jersey,kaighn's point,,,,
Amblema plicata,ansp,467936,preservedspecimen,10,united states,pennsylvania,conneaut lake,1990,41.603625,-80.299389,
Amblema plicata,ansp,,preservedspecimen,1,united states,massachusetts,northampton mill river pynchon meadows,1973,,,
Amblema plicata,chas,1723,preservedspecimen,1,united states,alabama,coosa river,,,,
Amblema plicata,chas,24128,preservedspecimen,1,united states,new jersey,plum point 1.5 miles east of riverton,1909,,,
Amblema plicata,mcz,380359,preservedspecimen,1,united states,massachusetts,taunton taunton river south street crossing east taunton section,2010,41.8858666667,-71.0295333333,
Amblema plicata,mcz,252203,preservedspecimen,1,united states,new york,hudson river,,,,
Amblema plicata,mcz,359355,preservedspecimen,1,united states,massachusetts,lake sabbatia northwest side bay street taunton,2007,,,
Amblema plicata,mcz,125122,preservedspecimen,1,united states,michigan,light house point charity ids.,,,,
Amblema plicata,mcz,375063,preservedspecimen,1,united states,,connecticut hartford county bloomfield along spoonvile road under spoonville bridge (route 187) framington river,2004,,,
Amblema plicata,mcz,380380,preservedspecimen,1,united states,massachusetts,raynham taunton river access at south street west raynham oil change parking lot,2010,41.9046833333,-71.0473666667,
Amblema plicata,mcz,152895,preservedspecimen,1,united states,massachusetts,great pond eastham,,,,
Amblema plicata,mcz,353497,preservedspecimen,1,united states,massachusetts,east bridgewater robbins pond n side along pond st.,2005,,,
Amblema plicata,mcz,159937,preservedspecimen,1,united states,maryland,queen ann tackahoe river,,,,
Amblema plicata,cmn,cmnml 071080,preservedspecimen,1,,,lake erie turkey point ontario,1933,42.666667,-80.35,
Amblema plicata,cmn,cmnml 093050,preservedspecimen,1,,,presque isle bay erie,1966,42.142222,-80.113889,
Amblema plicata,cmn,cmnml 094989,preservedspecimen,4,canada,ontario,lake erie holiday beach conservation area 3.3 km ssw malden centre,,42.0311,-83.04632,
Amblema plicata,dmnh,150026,preservedspecimen,1,canada,ontario,lake erie,,,,
Amblema plicata,dmnh,173594,preservedspecimen,1,united states,ohio,cuyahoga river kent,,,,
Amblema plicata,dmnh,132196,preservedspecimen,1,united states,,connecticut river,,,,
Amblema plicata,dmnh,170274,preservedspecimen,1,united states,washington d.c.,potomac river,,,,
Amblema plicata,cmn,cmnml 057561,preservedspecimen,10,united states,maryland,barren creek s edge mardela springs near barren creek bridge,1960,38.460833,-75.747222,
Amblema plicata,cm,61.1575,preservedspecimen,1,united states,pennsylvania,l erie erie presque isle,1905,,,
Amblema plicata,cm,61.4843,preservedspecimen,4,united states,michigan,la plaisance bay,,,,
Amblema plicata,cm,61.5707,preservedspecimen,2,united states,michigan,la plaisance bay,,,,
Amblema plicata,cm,61.11296,preservedspecimen,1,united states,massachusetts,mystic r woburn,,,,
Amblema plicata,cm,61.4086,preservedspecimen,3,united states,pennsylvania,l erie erie presque isle,1909,,,
Amblema plicata,cm,61.4836,preservedspecimen,2,united states,pennsylvania,presque isle bay erie big bend(w end),1910,,,
Amblema plicata,cm,61.4842,preservedspecimen,1,united states,pennsylvania,presque isle bay erie,1910,,,
Amblema plicata,cm,61.1643,preservedspecimen,1,,,,,,,
Amblema plicata,cm,80830,preservedspecimen,6,united states,massachusetts,newton,,,,
