species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,ncsm,13589,preservedspecimen,1,united states,mississippi,big sunflower river at blain road bridge [1.06 air miles sw center] town of blaine [sunflower quad].,2001,33.5992,-90.5378,
Amblema plicata,ncsm,29002,preservedspecimen,4,united states,kansas,marais des cygnes river in ottawa on sand bar by city park [ottawa south quad].,2003,38.6196,-95.2751,
Amblema plicata,ncsm,29369,preservedspecimen,2,united states,tennessee,clinch river river mile 189.8 at kyles ford  [kyles ford quad].,2001,36.56960000000001,-83.0415,
Amblema plicata,ncsm,30468,preservedspecimen,4,united states,alabama,tennessee river trm 255 across from mcfarland park florence 15 m from left descending bank [point estimated 0.72 air miles nne center of sheffield] [florence quad].,2001,34.7747,-87.6933,
Amblema plicata,ncsm,33724,preservedspecimen,6,united states,tennessee,clinch river river mile 192.4 island at [wallens bend] [point estimated 0.72 air miles se center of willis] [kyles ford quad].,1997,36.580799999999996,-83.0053,
Amblema plicata,ncsm,33727,preservedspecimen,8,united states,tennessee,clinch river river mile 174.2 below briar fork creek [brier creek?] [1.61 air miles se center of evanston] [swan island quad].,1997,36.4922,-83.2653,
Amblema plicata,ncsm,33748,preservedspecimen,8,united states,tennessee,duck river (drm 179) lillard mill [point estimated 3.9 air miles nnw center verona] [verona quad].,1995,35.5867,-86.7842,
Amblema plicata,ncsm,33754,preservedspecimen,10,united states,ohio,muskingum river below dam [muskingum river lock and dam number three] at lowell adams township [lowell quad].,1966,39.5299,-81.51620000000001,
Amblema plicata,ncsm,44569,preservedspecimen,2,united states,kentucky,big south fork cumberland river bsfrm 52.7 [point estimated 7.93 air miles w center strunk] [oneida north quad].,,36.6246,-84.5777,
Amblema plicata,ncsm,45786,preservedspecimen,12,united states,ohio,lake erie on beach east side port clinton [point estimated 4.57 air miles ne center port clinton] [gypsum quad].,1978,41.5345,-82.9909,
Amblema plicata,ncsm,48306,preservedspecimen,4,united states,tennessee,duck river [point estimated 1.1 air miles w center] only  downstream of route 229 [/cr 920 barren hollow road] [coble quad].,2001,35.8618,-87.7117,
Amblema plicata,usnm,84278,preservedspecimen,2,united states,louisiana,bayou teche river,,,,
Amblema plicata,usnm,745571,preservedspecimen,12,united states,minnesota,19 mile ne saint paul,1907,,,
Amblema plicata,usnm,521461,preservedspecimen,10,united states,iowa,iowa city,,,,
Amblema plicata,inhs,16876,preservedspecimen,1,united states,illinois,fox river carpentersville downstream of dam north america,,42.11347,-88.29287,
Amblema plicata,inhs,33124,preservedspecimen,1,united states,illinois,illinois river valley city r.r. bridge river mile 61.5 north america,2002,39.70305,-90.64483,
Amblema plicata,inhs,16291,preservedspecimen,1,united states,illinois,ohio river 1 mi s hillerman daymark 954.2 river mile 954.2 north america,1994,37.21758,-88.8951,
Amblema plicata,usnm,677259,preservedspecimen,2,united states,indiana,white river freedom,1908,,,
Amblema plicata,inhs,48223,preservedspecimen,1,united states,minnesota,st. croix river danbury wisconsin hwy. 35 yellow river landing north america,2010,45.900228,-92.69657,
Amblema plicata,inhs,49442,preservedspecimen,1,united states,minnesota,mississippi river st. paul downstream of lock & dam 1 upstream minnesota river mouth north america,2012,44.89664,-93.18998,
Amblema plicata,inhs,49778,preservedspecimen,1,united states,minnesota,minnesota river 3.4 mi w montevideo 4.3 mi s watson north america,2012,44.94698,-95.79273,
Amblema plicata,inhs,79287,preservedspecimen,1,united states,wisconsin,mississippi river lake pepin; 2.78 mi sse bay city; 1.21 mi s oakridge north america,2011,44.56922,-92.3991,
Amblema plicata,usnm,30352,preservedspecimen,2,united states,alabama,alabama river,,,,
Amblema plicata,inhs,82699,preservedspecimen,1,united states,missouri,horse creek hwy. 32 north america,1999,37.75445,-93.93885,
Amblema plicata,inhs,82801,preservedspecimen,2,united states,missouri,gasconade river 1.1 mi nw cooper hill massie island north america,2006,38.43441,-91.6808,
Amblema plicata,inhs,82818,preservedspecimen,1,united states,missouri,gasconade river 3 mi below missouri dept. of conservation rollins ferry access north america,2005,38.37666,-91.76959,
Amblema plicata,inhs,83166,preservedspecimen,1,united states,iowa,iowa river n wapello u.s. hwy. 61 north america,,41.21726,-91.1966,
Amblema plicata,inhs,84783,preservedspecimen,2,united states,wisconsin,st. croix river 1.3 mi nnw st. croix falls north america,2015,45.427439,-92.646772,
Amblema plicata,usnm,514923,preservedspecimen,6,united states,illinois,aledo edward's creek,,,,
Amblema plicata,inhs,28179,preservedspecimen,1,united states,tennessee,tennessee river kentucky lake river mile 183 north america,1996,35.29229,-88.23292,
Amblema plicata,inhs,12224,preservedspecimen,1,united states,illinois,kankakee river sw momence north america,1991,41.15809,-87.6698,
Amblema plicata,inhs,21888,preservedspecimen,2,united states,illinois,rock river 3 mi nne byron roadside park s of rt. 2 north america,1998,42.1662,-89.2274,
Amblema plicata,inhs,1153,preservedspecimen,3,united states,illinois,kaskaskia river 5 mi below carlyle north america,1929,38.53703,-89.38133,
Amblema plicata,inhs,528,preservedspecimen,2,united states,tennessee,holston river north america,,,,
Amblema plicata,omnh,15473,preservedspecimen,1,united states,oklahoma,,1989,34.337056,-95.640594,
Amblema plicata,inhs,30299,preservedspecimen,2,united states,illinois,spoon river 1 mi w 2 mi s maquon north america,,40.76455,-90.18585,
Amblema plicata,inhs,35395,preservedspecimen,1,united states,illinois,rock river 1.5 mi se erie erie rd. bridge public launch north america,2009,41.63939,-90.06573,
Amblema plicata,inhs,39348,preservedspecimen,1,united states,illinois,mackinaw river 3 mi nw green valley wagonseller bridge/co. rd. 1250e north america,2010,40.4475,-89.691,
Amblema plicata,inhs,30539,preservedspecimen,1,united states,illinois,sangamon river 3 mi ne foosland rt. 47 bridge north america,2005,40.3737,-88.37531,
Amblema plicata,inhs,3245,preservedspecimen,23,united states,illinois,sangamon river 2 mi sw mahomet north america,1957,40.17114,-88.44606,
Amblema plicata,inhs,43250,preservedspecimen,1,united states,illinois,camp creek east 3 mi s sherrad 140th ave. bridge north america,2012,41.26897,-90.51602,
Amblema plicata,inhs,37582,preservedspecimen,4,united states,illinois,little wabash river north america,,,,
Amblema plicata,inhs,13094,preservedspecimen,1,united states,illinois,iroquois river 6 mi ese ashkum north america,1991,40.85872,-87.8421,
Amblema plicata,inhs,38055,preservedspecimen,35,united states,mississippi,big black river durant north america,,33.06263,-89.83332,
Amblema plicata,inhs,34974,preservedspecimen,1,united states,illinois,sangamon river 0.4 mi wsw riverton old rt. 36 bridge north america,2009,39.84199,-89.54686,
Amblema plicata,inhs,31983,preservedspecimen,1,united states,illinois,sugar river 5 mi ne durand state line north america,2007,42.49846,-89.26237,
Amblema plicata,uf,68780-mollusca,preservedspecimen,1,united states,ohio?,n/a,,,,
