species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,uf,438170-mollusca,preservedspecimen,1,united states,texas,guadalupe river about 15 air km upstream of cuero tx,2014,29.221294,-97.329695,
Amblema plicata,uf,438244-mollusca,preservedspecimen,1,united states,mississippi,east fork tombigbee river on billy blake property,2013,34.1043,-88.4181,
Amblema plicata,uf,438271-mollusca,preservedspecimen,1,united states,texas,brazos river 5.3 mi. w of navasota tx,2012,30.38033,-96.17509,
Amblema plicata,bmsm,43972,preservedspecimen,1,united states,ohio,walhonding river walhonding,,,,
Amblema plicata,bmsm,90211,preservedspecimen,1,united states,louisiana,calcasieu river us 190,,,,
Amblema plicata,bmsm,90212,preservedspecimen,1,united states,texas,trinity river near liberty,,,,
Amblema plicata,mcz,274848,preservedspecimen,1,united states,tennessee,duck river at us rt. 41a bridge 6 mi. ese of shelbyville,1967,,,
Amblema plicata,mcz,376403,preservedspecimen,1,united states,texas,brazos county 11 mi sw bryan brazos river,1972,,,
Amblema plicata,mcz,268037,preservedspecimen,1,united states,ohio,beverly muskingham river below dam,1965,,,
Amblema plicata,inhs,43636,preservedspecimen,1,united states,illinois,kaskaskia river 2.5 mi n covington north america,2012,38.4896,-89.4406,
Amblema plicata,mcz,274956,preservedspecimen,1,united states,alabama,paint rock r. at rocky hollow,1967,,,
Amblema plicata,mcz,298179,preservedspecimen,1,united states,tennessee,lucas harbor (kentucky lake) tennessee river,1989,,,
Amblema plicata,mcz,249283,preservedspecimen,1,united states,ohio,waterford twp. muskingum river below dam at beverly,,,,
Amblema plicata,chas,20430,preservedspecimen,1,united states,iowa,mcgregor mississippi river,1904,,,
Amblema plicata,chas,20980,preservedspecimen,1,united states,illinois,chicago randolph street at lake michigan,1903,,,
Amblema plicata,cmn,cmnml 020559,preservedspecimen,2,united states,tennessee,battle creek fishtrap spring 4 mi. w.n.w. of kimball marion co. tennessee,1959,34.966667,-85.766667,
Amblema plicata,cmn,cmnml 073027,preservedspecimen,3,united states,illinois,illinois river 1 mi. below hardin calhoun co. 56 mi. se of hannibal missouri; r2w t10s,1907,39.141667,-90.62,
Amblema plicata,dmnh,137823,preservedspecimen,1,united states,ohio,walhonding river,1979,,,
Amblema plicata,dmnh,173274,preservedspecimen,1,united states,texas,dallas,,,,
Amblema plicata,dmnh,173283,preservedspecimen,1,united states,arkansas,old river arkadelphia,,,,
Amblema plicata,dmnh,174426,preservedspecimen,1,united states,illinois,spoon river,,,,
Amblema plicata,dmnh,48588,preservedspecimen,1,united states,kentucky,licking river butler,1945,,,
Amblema plicata,dmnh,50757,preservedspecimen,1,united states,kentucky,green river munfordville above rt 31 bridge,1972,,,
Amblema plicata,dmnh,40162,preservedspecimen,1,united states,wisconsin,turtle river 5-6 mi sw of mercer,1929,,,
Amblema plicata,dmnh,146213,preservedspecimen,1,united states,louisiana,comissiana river,,,,
Amblema plicata,dmnh,65659,preservedspecimen,1,united states,ohio,lake erie e of port clinton,1972,,,
Amblema plicata,dmnh,136454,preservedspecimen,1,united states,illinois,illinois river beardstown,,,,
Amblema plicata,dmnh,39986,preservedspecimen,1,united states,illinois,sangamon river at roll's ford springfield,1929,,,
Amblema plicata,dmnh,174425,preservedspecimen,1,united states,texas,west yegua creek,,,,
Amblema plicata,dmnh,170308,preservedspecimen,1,united states,michigan,detroit river,1955,,,
Amblema plicata,dmnh,67347,preservedspecimen,1,united states,pennsylvania,french creek utica,1973,,,
Amblema plicata,dmnh,45640,preservedspecimen,1,united states,michigan,la plaisance bay lake erie,,,,
Amblema plicata,dmnh,173273,preservedspecimen,1,united states,texas,west yegua creek,,,,
